"Quarter","Economic_Sector","Employment","Average_Weekly_Earnings_Seasonally_Adjusted"
2014-01-01,"Mining and quarrying (B)",5100,1033.59
2014-01-01,"Manufacturing (C)",174900,822.05
2014-01-01,"Construction (F)",58900,724.8
2014-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",273900,523.19
2014-01-01,"Transportation and storage (H)",61000,715.86
2014-01-01,"Accommodation and food service activities (I)",140600,320.38
2014-01-01,"Information and communication (J)",57800,1011.65
2014-01-01,"Financial and insurance activities (K)",78100,1067.2
2014-01-01,"Real estate activities (L)",8600,634.42
2014-01-01,"Professional, scientific and technical activities (M)",83400,804.81
2014-01-01,"Administrative and support service activities (N)",73500,510.61
2014-01-01,"Public administration and defence; compulsory social security (O)",107000,918.49
2014-01-01,"Education (P)",134700,810.67
2014-01-01,"Human health and social work activities (Q)",219400,669.1
2014-01-01,"Arts, entertainment and recreation (R)",22800,484.45
2014-01-01,"Other service activities (S)",21800,442.2
2014-01-01,"Industry (B to E)",193600,845.58
2014-01-01,"Electricity, water supply and waste management (D,E)",13600,1084.3
2014-01-01,"Financial, insurance and real estate activities (K,L)",86700,1020.52
2014-01-01,"Arts, entertainment, recreation and other service activities (R,S)",44600,463.92
2014-04-01,"Mining and quarrying (B)",6100,958.47
2014-04-01,"Manufacturing (C)",174100,824.14
2014-04-01,"Construction (F)",62700,738.7
2014-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",276200,528.03
2014-04-01,"Transportation and storage (H)",62300,746.32
2014-04-01,"Accommodation and food service activities (I)",145000,316.13
2014-04-01,"Information and communication (J)",59700,1026.78
2014-04-01,"Financial and insurance activities (K)",77400,1053.78
2014-04-01,"Real estate activities (L)",9000,583.31
2014-04-01,"Professional, scientific and technical activities (M)",81600,784.54
2014-04-01,"Administrative and support service activities (N)",76000,492.72
2014-04-01,"Public administration and defence; compulsory social security (O)",107400,921.75
2014-04-01,"Education (P)",136600,796.63
2014-04-01,"Human health and social work activities (Q)",223000,675.48
2014-04-01,"Arts, entertainment and recreation (R)",25100,508.6
2014-04-01,"Other service activities (S)",21400,430.52
2014-04-01,"Industry (B to E)",194600,848.95
2014-04-01,"Electricity, water supply and waste management (D,E)",14400,1129.29
2014-04-01,"Financial, insurance and real estate activities (K,L)",86400,1009.72
2014-04-01,"Arts, entertainment, recreation and other service activities (R,S)",46500,474.27
2014-07-01,"Mining and quarrying (B)",6100,948.15
2014-07-01,"Manufacturing (C)",180100,829.02
2014-07-01,"Construction (F)",67600,706.55
2014-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",285500,525.26
2014-07-01,"Transportation and storage (H)",61000,720.71
2014-07-01,"Accommodation and food service activities (I)",148900,313.85
2014-07-01,"Information and communication (J)",58200,1027.91
2014-07-01,"Financial and insurance activities (K)",82300,1061
2014-07-01,"Real estate activities (L)",10400,556.55
2014-07-01,"Professional, scientific and technical activities (M)",84200,785.37
2014-07-01,"Administrative and support service activities (N)",78000,488.75
2014-07-01,"Public administration and defence; compulsory social security (O)",109500,921.47
2014-07-01,"Education (P)",130800,774.65
2014-07-01,"Human health and social work activities (Q)",226500,673.83
2014-07-01,"Arts, entertainment and recreation (R)",24900,487.35
2014-07-01,"Other service activities (S)",22200,457.25
2014-07-01,"Industry (B to E)",199900,849.44
2014-07-01,"Electricity, water supply and waste management (D,E)",13700,1046.95
2014-07-01,"Financial, insurance and real estate activities (K,L)",92700,1005.99
2014-07-01,"Arts, entertainment, recreation and other service activities (R,S)",47200,470.8
2014-10-01,"Mining and quarrying (B)",5500,924.64
2014-10-01,"Manufacturing (C)",185300,837.49
2014-10-01,"Construction (F)",69300,734.24
2014-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",289300,522.23
2014-10-01,"Transportation and storage (H)",63800,742.39
2014-10-01,"Accommodation and food service activities (I)",147400,317.89
2014-10-01,"Information and communication (J)",62300,1047.01
2014-10-01,"Financial and insurance activities (K)",78600,1157.19
2014-10-01,"Real estate activities (L)",12600,593.47
2014-10-01,"Professional, scientific and technical activities (M)",84500,787.43
2014-10-01,"Administrative and support service activities (N)",80200,495.5
2014-10-01,"Public administration and defence; compulsory social security (O)",105800,919.69
2014-10-01,"Education (P)",140000,796.31
2014-10-01,"Human health and social work activities (Q)",225100,677.7
2014-10-01,"Arts, entertainment and recreation (R)",24300,511.01
2014-10-01,"Other service activities (S)",22300,458.95
2014-10-01,"Industry (B to E)",203500,854.72
2014-10-01,"Electricity, water supply and waste management (D,E)",12700,1056.2
2014-10-01,"Financial, insurance and real estate activities (K,L)",91200,1077.93
2014-10-01,"Arts, entertainment, recreation and other service activities (R,S)",46600,486.04
2015-01-01,"Mining and quarrying (B)",6700,930.23
2015-01-01,"Manufacturing (C)",187700,820.33
2015-01-01,"Construction (F)",73000,719.69
2015-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",281400,535.91
2015-01-01,"Transportation and storage (H)",63400,745.72
2015-01-01,"Accommodation and food service activities (I)",143100,319.39
2015-01-01,"Information and communication (J)",61300,1069.78
2015-01-01,"Financial and insurance activities (K)",78400,1060.88
2015-01-01,"Real estate activities (L)",12600,636.65
2015-01-01,"Professional, scientific and technical activities (M)",79500,781.39
2015-01-01,"Administrative and support service activities (N)",76000,502.49
2015-01-01,"Public administration and defence; compulsory social security (O)",109300,929.79
2015-01-01,"Education (P)",140600,803.91
2015-01-01,"Human health and social work activities (Q)",225100,674.36
2015-01-01,"Arts, entertainment and recreation (R)",24900,494.42
2015-01-01,"Other service activities (S)",24600,446.69
2015-01-01,"Industry (B to E)",207200,839.14
2015-01-01,"Electricity, water supply and waste management (D,E)",12700,1051.32
2015-01-01,"Financial, insurance and real estate activities (K,L)",91000,1002.06
2015-01-01,"Arts, entertainment, recreation and other service activities (R,S)",49500,471.13
2015-04-01,"Mining and quarrying (B)",7200,960.1
2015-04-01,"Manufacturing (C)",186200,830.83
2015-04-01,"Construction (F)",75100,700.33
2015-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",282800,533.27
2015-04-01,"Transportation and storage (H)",64800,750.92
2015-04-01,"Accommodation and food service activities (I)",148300,320.31
2015-04-01,"Information and communication (J)",61800,1068.47
2015-04-01,"Financial and insurance activities (K)",79000,1048.06
2015-04-01,"Real estate activities (L)",12000,714.92
2015-04-01,"Professional, scientific and technical activities (M)",85300,806.14
2015-04-01,"Administrative and support service activities (N)",78200,520.42
2015-04-01,"Public administration and defence; compulsory social security (O)",113000,925.91
2015-04-01,"Education (P)",136600,805.26
2015-04-01,"Human health and social work activities (Q)",226600,671.87
2015-04-01,"Arts, entertainment and recreation (R)",26000,502.22
2015-04-01,"Other service activities (S)",24300,456.14
2015-04-01,"Industry (B to E)",206000,846.37
2015-04-01,"Electricity, water supply and waste management (D,E)",12600,1040.29
2015-04-01,"Financial, insurance and real estate activities (K,L)",91000,1009.67
2015-04-01,"Arts, entertainment, recreation and other service activities (R,S)",50300,480.61
2015-07-01,"Mining and quarrying (B)",7100,957.26
2015-07-01,"Manufacturing (C)",191300,829.59
2015-07-01,"Construction (F)",77600,700.29
2015-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",285900,540.3
2015-07-01,"Transportation and storage (H)",63500,753.18
2015-07-01,"Accommodation and food service activities (I)",151300,316.76
2015-07-01,"Information and communication (J)",62800,1081.86
2015-07-01,"Financial and insurance activities (K)",78400,1066.05
2015-07-01,"Real estate activities (L)",10500,732.03
2015-07-01,"Professional, scientific and technical activities (M)",94000,816.66
2015-07-01,"Administrative and support service activities (N)",83200,524.67
2015-07-01,"Public administration and defence; compulsory social security (O)",113600,922.23
2015-07-01,"Education (P)",133400,804.88
2015-07-01,"Human health and social work activities (Q)",233000,673.12
2015-07-01,"Arts, entertainment and recreation (R)",27400,502.74
2015-07-01,"Other service activities (S)",24300,440.36
2015-07-01,"Industry (B to E)",211800,848.52
2015-07-01,"Electricity, water supply and waste management (D,E)",13300,1075.2
2015-07-01,"Financial, insurance and real estate activities (K,L)",88900,1022.78
2015-07-01,"Arts, entertainment, recreation and other service activities (R,S)",51700,472.27
2015-10-01,"Mining and quarrying (B)",5000,910.28
2015-10-01,"Manufacturing (C)",193800,827.1
2015-10-01,"Construction (F)",77600,727.9
2015-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",295200,544.57
2015-10-01,"Transportation and storage (H)",67000,744.63
2015-10-01,"Accommodation and food service activities (I)",154000,321.14
2015-10-01,"Information and communication (J)",63600,1087.15
2015-10-01,"Financial and insurance activities (K)",78200,1071.99
2015-10-01,"Real estate activities (L)",10400,752.93
2015-10-01,"Professional, scientific and technical activities (M)",89100,820.7
2015-10-01,"Administrative and support service activities (N)",83400,524
2015-10-01,"Public administration and defence; compulsory social security (O)",111300,927.54
2015-10-01,"Education (P)",138800,812.1
2015-10-01,"Human health and social work activities (Q)",232800,677.88
2015-10-01,"Arts, entertainment and recreation (R)",24900,503.09
2015-10-01,"Other service activities (S)",23800,434.44
2015-10-01,"Industry (B to E)",212000,843.51
2015-10-01,"Electricity, water supply and waste management (D,E)",13100,1053.4
